Bioma;Estado;Cenário;Erosão;Bioprospecção;Carbono;PFNM;PFM;Área;Valor;Valores_ha;Valor_pecuaria;Diferenca_pecuaria;Diferenca_pecuaria_ha
CER;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RO;Área prioritária para restauração;3277651058;237501752.5;10676093072;5894337100;0;501641;20086084623;40039.75549;3511487000;16574597623;33039.75549
MAT;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RR;Área prioritária para restauração;112931201.6;8183103.635;367843921.5;203088907.1;0;17284;692064417.8;40039.75549;120988000;571076417.8;33039.75549
MAT;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;RS;Área prioritária para restauração;1667382822;20772050.55;3608950514;5970338304;0;238314;11267682005;47279.8228;1668198000;9599484005;40279.8228
PAN;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RS;Área prioritária para restauração;3262805983;504488235.7;3082528658;4722618566;0;722065;11573163507;16026.86938;5054455000;6518708507;9026.869384
CAA;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;SC;Área prioritária para restauração;1566890952;19520135.17;3391441865;5610510644;0;223951;10588587547;47279.8228;1567657000;9020930547;40279.8228
PAN;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;SE;Área prioritária para restauração;110627879.3;7377726.064;70591480.01;203751407.1;0;17022;392365514.5;23049.49433;119154000;273211514.5;16049.49433
CER;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;SE;Área prioritária para restauração;220007439.1;2740825.674;476192959.3;787772803.8;0;31445;1486745473;47279.8228;220115000;1266630473;40279.8228
PAN;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;SP;Área prioritária para restauração;1146042874;120009068.7;1570990717;3257803018;0;253478;6095099156;24044.87047;1774346000;4320753156;17044.87047
